

TrainId=11 Delay=323 FreeRun=3590 	Final Delay=323
T23 Train11 AimedDepartureTime=0 WaitTime=30 BaseTime=323 RunTime=270	OptSolTime=323
T24 Train11 AimedDepartureTime=0 WaitTime=30 BaseTime=623 RunTime=170	OptSolTime=623
T25 Train11 AimedDepartureTime=480 WaitTime=10 BaseTime=803 RunTime=390	OptSolTime=803
T26 Train11 AimedDepartureTime=900 WaitTime=30 BaseTime=1223 RunTime=120	OptSolTime=1223
T27 Train11 AimedDepartureTime=1020 WaitTime=0 BaseTime=1343 RunTime=120	OptSolTime=1343
T28 Train11 AimedDepartureTime=1260 WaitTime=120 BaseTime=1583 RunTime=410	OptSolTime=1583
T29 Train11 AimedDepartureTime=1680 WaitTime=10 BaseTime=2003 RunTime=930	OptSolTime=2003
T30 Train11 AimedDepartureTime=2640 WaitTime=30 BaseTime=2963 RunTime=290	OptSolTime=2963
T31 Train11 AimedDepartureTime=2940 WaitTime=10 BaseTime=3263 RunTime=270	OptSolTime=3263
T32 Train11 AimedDepartureTime=3240 WaitTime=30 BaseTime=3563 RunTime=350	OptSolTime=3563
T33 Train11 AimedDepartureTime=3590 WaitTime=0 BaseTime=3913 RunTime=250	OptSolTime=3913

TrainId=12 Delay=615 FreeRun=4680 	Final Delay=438225
T21 Train12 AimedDepartureTime=0 WaitTime=180 BaseTime=615 RunTime=300	OptSolTime=615
T20 Train12 AimedDepartureTime=0 WaitTime=30 BaseTime=945 RunTime=210	OptSolTime=945
T19 Train12 AimedDepartureTime=0 WaitTime=0 BaseTime=1155 RunTime=180	OptSolTime=1155
T18 Train12 AimedDepartureTime=0 WaitTime=0 BaseTime=1335 RunTime=180	OptSolTime=1335
T17 Train12 AimedDepartureTime=900 WaitTime=0 BaseTime=1515 RunTime=300	OptSolTime=1515
T16 Train12 AimedDepartureTime=1230 WaitTime=30 BaseTime=1845 RunTime=150	OptSolTime=1845
T15 Train12 AimedDepartureTime=1410 WaitTime=30 BaseTime=2025 RunTime=450	OptSolTime=2025
T14 Train12 AimedDepartureTime=2040 WaitTime=180 BaseTime=2655 RunTime=420	OptSolTime=2655
T13 Train12 AimedDepartureTime=2490 WaitTime=30 BaseTime=3105 RunTime=390	OptSolTime=3105
T12 Train12 AimedDepartureTime=2910 WaitTime=30 BaseTime=3525 RunTime=150	OptSolTime=3525
T11 Train12 AimedDepartureTime=3090 WaitTime=30 BaseTime=3705 RunTime=150	OptSolTime=3705
T10 Train12 AimedDepartureTime=3240 WaitTime=0 BaseTime=3855 RunTime=420	OptSolTime=3855
T9 Train12 AimedDepartureTime=3780 WaitTime=120 BaseTime=4395 RunTime=240	OptSolTime=442005
T8 Train12 AimedDepartureTime=4050 WaitTime=30 BaseTime=4665 RunTime=210	OptSolTime=442275
T7 Train12 AimedDepartureTime=4290 WaitTime=30 BaseTime=4905 RunTime=90	OptSolTime=442515
T5 Train12 AimedDepartureTime=4380 WaitTime=0 BaseTime=4995 RunTime=60	OptSolTime=442605
T3 Train12 AimedDepartureTime=4470 WaitTime=30 BaseTime=5085 RunTime=210	OptSolTime=442695
T1 Train12 AimedDepartureTime=4680 WaitTime=0 BaseTime=5295 RunTime=300	OptSolTime=442905

TrainId=13 Delay=0 FreeRun=6807 	Final Delay=1876
T29 Train13 AimedDepartureTime=0 WaitTime=30 BaseTime=0 RunTime=870	OptSolTime=0
T28 Train13 AimedDepartureTime=890 WaitTime=20 BaseTime=890 RunTime=620	OptSolTime=890
T27 Train13 AimedDepartureTime=1630 WaitTime=120 BaseTime=1630 RunTime=285	OptSolTime=1630
T26 Train13 AimedDepartureTime=1915 WaitTime=0 BaseTime=1915 RunTime=195	OptSolTime=1915
T25 Train13 AimedDepartureTime=2140 WaitTime=30 BaseTime=2140 RunTime=390	OptSolTime=2140
T24 Train13 AimedDepartureTime=2540 WaitTime=10 BaseTime=2540 RunTime=310	OptSolTime=2540
T23 Train13 AimedDepartureTime=2880 WaitTime=30 BaseTime=2880 RunTime=330	OptSolTime=2880
T22 Train13 AimedDepartureTime=3240 WaitTime=30 BaseTime=3240 RunTime=330	OptSolTime=3240
T21 Train13 AimedDepartureTime=3570 WaitTime=0 BaseTime=3570 RunTime=120	OptSolTime=3570
T20 Train13 AimedDepartureTime=3720 WaitTime=30 BaseTime=3720 RunTime=150	OptSolTime=3720
T19 Train13 AimedDepartureTime=3870 WaitTime=0 BaseTime=3870 RunTime=180	OptSolTime=3870
T18 Train13 AimedDepartureTime=4050 WaitTime=0 BaseTime=4050 RunTime=180	OptSolTime=4050
T17 Train13 AimedDepartureTime=4230 WaitTime=0 BaseTime=4230 RunTime=240	OptSolTime=4230
T16 Train13 AimedDepartureTime=4470 WaitTime=0 BaseTime=4470 RunTime=68	OptSolTime=4470
T15 Train13 AimedDepartureTime=4538 WaitTime=0 BaseTime=4538 RunTime=112	OptSolTime=4538
T14 Train13 AimedDepartureTime=4650 WaitTime=0 BaseTime=4650 RunTime=240	OptSolTime=4650
T13 Train13 AimedDepartureTime=4920 WaitTime=30 BaseTime=4920 RunTime=330	OptSolTime=5296
T12 Train13 AimedDepartureTime=5250 WaitTime=0 BaseTime=5250 RunTime=87	OptSolTime=5626
T11 Train13 AimedDepartureTime=5337 WaitTime=0 BaseTime=5337 RunTime=93	OptSolTime=5713
T10 Train13 AimedDepartureTime=5430 WaitTime=0 BaseTime=5430 RunTime=480	OptSolTime=7306
T9 Train13 AimedDepartureTime=5970 WaitTime=60 BaseTime=5970 RunTime=180	OptSolTime=7846
T8 Train13 AimedDepartureTime=6180 WaitTime=30 BaseTime=6180 RunTime=210	OptSolTime=8056
T7 Train13 AimedDepartureTime=6420 WaitTime=30 BaseTime=6420 RunTime=146	OptSolTime=8296
T5 Train13 AimedDepartureTime=6566 WaitTime=0 BaseTime=6566 RunTime=59	OptSolTime=8442
T3 Train13 AimedDepartureTime=6625 WaitTime=0 BaseTime=6625 RunTime=182	OptSolTime=8501
T1 Train13 AimedDepartureTime=6807 WaitTime=0 BaseTime=6807 RunTime=303	OptSolTime=8683

TrainId=14 Delay=192 FreeRun=1926 	Final Delay=192
T16 Train14 AimedDepartureTime=0 WaitTime=0 BaseTime=192 RunTime=72	OptSolTime=192
T15 Train14 AimedDepartureTime=0 WaitTime=0 BaseTime=264 RunTime=108	OptSolTime=264
T14 Train14 AimedDepartureTime=0 WaitTime=0 BaseTime=372 RunTime=180	OptSolTime=372
T13 Train14 AimedDepartureTime=360 WaitTime=0 BaseTime=552 RunTime=300	OptSolTime=552
T12 Train14 AimedDepartureTime=660 WaitTime=0 BaseTime=852 RunTime=102	OptSolTime=852
T11 Train14 AimedDepartureTime=762 WaitTime=0 BaseTime=954 RunTime=138	OptSolTime=954
T10 Train14 AimedDepartureTime=900 WaitTime=0 BaseTime=1092 RunTime=418	OptSolTime=1092
