

TrainId=6 Delay=360 FreeRun=2330 	Final Delay=360
T28 Train6 AimedDepartureTime=0 WaitTime=60 BaseTime=360 RunTime=410	OptSolTime=360
T29 Train6 AimedDepartureTime=0 WaitTime=10 BaseTime=780 RunTime=930	OptSolTime=780
T30 Train6 AimedDepartureTime=1380 WaitTime=30 BaseTime=1740 RunTime=290	OptSolTime=1740
T31 Train6 AimedDepartureTime=1680 WaitTime=10 BaseTime=2040 RunTime=270	OptSolTime=2040
T32 Train6 AimedDepartureTime=1980 WaitTime=30 BaseTime=2340 RunTime=350	OptSolTime=2340
T33 Train6 AimedDepartureTime=2330 WaitTime=0 BaseTime=2690 RunTime=250	OptSolTime=2690

TrainId=8 Delay=1 FreeRun=780 	Final Delay=1
T24 Train8 AimedDepartureTime=0 WaitTime=300 BaseTime=1 RunTime=220	OptSolTime=1
T25 Train8 AimedDepartureTime=240 WaitTime=20 BaseTime=241 RunTime=390	OptSolTime=241
T26 Train8 AimedDepartureTime=660 WaitTime=30 BaseTime=661 RunTime=120	OptSolTime=661
T27 Train8 AimedDepartureTime=780 WaitTime=0 BaseTime=781 RunTime=120	OptSolTime=781

TrainId=9 Delay=25 FreeRun=1920 	Final Delay=25
T20 Train9 AimedDepartureTime=0 WaitTime=0 BaseTime=25 RunTime=30	OptSolTime=25
T21 Train9 AimedDepartureTime=0 WaitTime=30 BaseTime=85 RunTime=300	OptSolTime=85
T22 Train9 AimedDepartureTime=540 WaitTime=180 BaseTime=565 RunTime=270	OptSolTime=565
T23 Train9 AimedDepartureTime=840 WaitTime=30 BaseTime=865 RunTime=270	OptSolTime=865
T24 Train9 AimedDepartureTime=1140 WaitTime=30 BaseTime=1165 RunTime=220	OptSolTime=1165
T25 Train9 AimedDepartureTime=1380 WaitTime=20 BaseTime=1405 RunTime=390	OptSolTime=1405
T26 Train9 AimedDepartureTime=1800 WaitTime=30 BaseTime=1825 RunTime=120	OptSolTime=1825
T27 Train9 AimedDepartureTime=1920 WaitTime=0 BaseTime=1945 RunTime=120	OptSolTime=1945

TrainId=10 Delay=59 FreeRun=1920 	Final Delay=541
T10 Train10 AimedDepartureTime=0 WaitTime=420 BaseTime=59 RunTime=840	OptSolTime=541
T9 Train10 AimedDepartureTime=960 WaitTime=120 BaseTime=1019 RunTime=240	OptSolTime=1501
T8 Train10 AimedDepartureTime=1230 WaitTime=30 BaseTime=1289 RunTime=210	OptSolTime=1771
T7 Train10 AimedDepartureTime=1470 WaitTime=30 BaseTime=1529 RunTime=130	OptSolTime=2011
T5 Train10 AimedDepartureTime=1600 WaitTime=0 BaseTime=1659 RunTime=80	OptSolTime=2141
T3 Train10 AimedDepartureTime=1710 WaitTime=30 BaseTime=1769 RunTime=210	OptSolTime=2251
T1 Train10 AimedDepartureTime=1920 WaitTime=0 BaseTime=1979 RunTime=300	OptSolTime=2461

TrainId=11 Delay=360 FreeRun=5000 	Final Delay=1195
T26 Train11 AimedDepartureTime=0 WaitTime=0 BaseTime=360 RunTime=165	OptSolTime=360
T25 Train11 AimedDepartureTime=0 WaitTime=30 BaseTime=555 RunTime=390	OptSolTime=1015
T24 Train11 AimedDepartureTime=0 WaitTime=10 BaseTime=955 RunTime=310	OptSolTime=1671
T23 Train11 AimedDepartureTime=0 WaitTime=30 BaseTime=1295 RunTime=330	OptSolTime=2130
T22 Train11 AimedDepartureTime=1295 WaitTime=30 BaseTime=1655 RunTime=270	OptSolTime=2490
T21 Train11 AimedDepartureTime=1565 WaitTime=0 BaseTime=1925 RunTime=120	OptSolTime=2760
T20 Train11 AimedDepartureTime=1715 WaitTime=30 BaseTime=2075 RunTime=150	OptSolTime=2910
T19 Train11 AimedDepartureTime=1865 WaitTime=0 BaseTime=2225 RunTime=300	OptSolTime=3060
T18 Train11 AimedDepartureTime=2285 WaitTime=120 BaseTime=2645 RunTime=300	OptSolTime=3480
