

TrainId=64 Delay=80 FreeRun=6194 	Final Delay=2874
T16 Train64 AimedDepartureTime=0 WaitTime=360 BaseTime=80 RunTime=502	OptSolTime=80
T15 Train64 AimedDepartureTime=0 WaitTime=0 BaseTime=582 RunTime=101	OptSolTime=582
T14 Train64 AimedDepartureTime=603 WaitTime=0 BaseTime=683 RunTime=208	OptSolTime=683
T13 Train64 AimedDepartureTime=811 WaitTime=0 BaseTime=891 RunTime=104	OptSolTime=891
T12 Train64 AimedDepartureTime=915 WaitTime=0 BaseTime=995 RunTime=155	OptSolTime=995
T11 Train64 AimedDepartureTime=1070 WaitTime=0 BaseTime=1150 RunTime=407	OptSolTime=1150
T10 Train64 AimedDepartureTime=1477 WaitTime=0 BaseTime=1557 RunTime=288	OptSolTime=1557
T9 Train64 AimedDepartureTime=1765 WaitTime=0 BaseTime=1845 RunTime=635	OptSolTime=1845
T8 Train64 AimedDepartureTime=2700 WaitTime=300 BaseTime=2780 RunTime=770	OptSolTime=2780
T7 Train64 AimedDepartureTime=3470 WaitTime=0 BaseTime=3550 RunTime=241	OptSolTime=3550
T6 Train64 AimedDepartureTime=3711 WaitTime=0 BaseTime=3791 RunTime=669	OptSolTime=3791
T5 Train64 AimedDepartureTime=4620 WaitTime=240 BaseTime=4700 RunTime=613	OptSolTime=6852
T4 Train64 AimedDepartureTime=5233 WaitTime=0 BaseTime=5313 RunTime=266	OptSolTime=7465
T3 Train64 AimedDepartureTime=5499 WaitTime=0 BaseTime=5579 RunTime=480	OptSolTime=7980
T2 Train64 AimedDepartureTime=5979 WaitTime=0 BaseTime=6059 RunTime=215	OptSolTime=8853
T1 Train64 AimedDepartureTime=6194 WaitTime=0 BaseTime=6274 RunTime=286	OptSolTime=9068

TrainId=65 Delay=191 FreeRun=4760 	Final Delay=191
T25 Train65 AimedDepartureTime=0 WaitTime=60 BaseTime=191 RunTime=217	OptSolTime=191
T24 Train65 AimedDepartureTime=0 WaitTime=0 BaseTime=408 RunTime=143	OptSolTime=408
T23 Train65 AimedDepartureTime=0 WaitTime=30 BaseTime=581 RunTime=210	OptSolTime=581
T22 Train65 AimedDepartureTime=0 WaitTime=30 BaseTime=821 RunTime=150	OptSolTime=821
T21 Train65 AimedDepartureTime=810 WaitTime=30 BaseTime=1001 RunTime=150	OptSolTime=1001
T20 Train65 AimedDepartureTime=960 WaitTime=0 BaseTime=1151 RunTime=45	OptSolTime=1151
T19 Train65 AimedDepartureTime=1005 WaitTime=0 BaseTime=1196 RunTime=195	OptSolTime=1196
T18 Train65 AimedDepartureTime=1260 WaitTime=60 BaseTime=1451 RunTime=300	OptSolTime=1451
T17 Train65 AimedDepartureTime=1590 WaitTime=30 BaseTime=1781 RunTime=210	OptSolTime=1781
T16 Train65 AimedDepartureTime=1830 WaitTime=30 BaseTime=2021 RunTime=210	OptSolTime=2021
T15 Train65 AimedDepartureTime=2070 WaitTime=30 BaseTime=2261 RunTime=150	OptSolTime=2261
T14 Train65 AimedDepartureTime=2250 WaitTime=30 BaseTime=2441 RunTime=201	OptSolTime=2441
T13 Train65 AimedDepartureTime=2451 WaitTime=0 BaseTime=2642 RunTime=84	OptSolTime=2642
T12 Train65 AimedDepartureTime=2535 WaitTime=0 BaseTime=2726 RunTime=165	OptSolTime=2726
T11 Train65 AimedDepartureTime=2740 WaitTime=40 BaseTime=2931 RunTime=700	OptSolTime=2931
T10 Train65 AimedDepartureTime=3620 WaitTime=180 BaseTime=3811 RunTime=420	OptSolTime=3811
T9 Train65 AimedDepartureTime=4040 WaitTime=0 BaseTime=4231 RunTime=240	OptSolTime=4231
T8 Train65 AimedDepartureTime=4310 WaitTime=30 BaseTime=4501 RunTime=270	OptSolTime=4501
T7 Train65 AimedDepartureTime=4580 WaitTime=0 BaseTime=4771 RunTime=180	OptSolTime=4771
T6 Train65 AimedDepartureTime=4760 WaitTime=0 BaseTime=4951 RunTime=480	OptSolTime=4951

TrainId=66 Delay=1 FreeRun=1070 	Final Delay=1
T18 Train66 AimedDepartureTime=0 WaitTime=30 BaseTime=1 RunTime=240	OptSolTime=1
T19 Train66 AimedDepartureTime=420 WaitTime=180 BaseTime=421 RunTime=90	OptSolTime=421
T20 Train66 AimedDepartureTime=510 WaitTime=0 BaseTime=511 RunTime=30	OptSolTime=511
T21 Train66 AimedDepartureTime=540 WaitTime=0 BaseTime=541 RunTime=150	OptSolTime=541
T22 Train66 AimedDepartureTime=720 WaitTime=30 BaseTime=721 RunTime=90	OptSolTime=721
T23 Train66 AimedDepartureTime=840 WaitTime=30 BaseTime=841 RunTime=90	OptSolTime=841
T24 Train66 AimedDepartureTime=960 WaitTime=30 BaseTime=961 RunTime=110	OptSolTime=961
T25 Train66 AimedDepartureTime=1070 WaitTime=0 BaseTime=1071 RunTime=190	OptSolTime=1071

TrainId=56 Delay=1 FreeRun=1650 	Final Delay=1
T11 Train56 AimedDepartureTime=0 WaitTime=30 BaseTime=1 RunTime=305	OptSolTime=1
T10 Train56 AimedDepartureTime=305 WaitTime=0 BaseTime=306 RunTime=205	OptSolTime=306
T9 Train56 AimedDepartureTime=510 WaitTime=0 BaseTime=511 RunTime=240	OptSolTime=511
T8 Train56 AimedDepartureTime=780 WaitTime=30 BaseTime=781 RunTime=322	OptSolTime=781
T7 Train56 AimedDepartureTime=1102 WaitTime=0 BaseTime=1103 RunTime=368	OptSolTime=1103
T6 Train56 AimedDepartureTime=1650 WaitTime=180 BaseTime=1651 RunTime=660	OptSolTime=1651

TrainId=73 Delay=0 FreeRun=6320 	Final Delay=1
T25 Train73 AimedDepartureTime=1260 WaitTime=120 BaseTime=1260 RunTime=300	OptSolTime=1261
T24 Train73 AimedDepartureTime=1590 WaitTime=30 BaseTime=1590 RunTime=210	OptSolTime=1591
T23 Train73 AimedDepartureTime=1830 WaitTime=30 BaseTime=1830 RunTime=210	OptSolTime=1831
T22 Train73 AimedDepartureTime=2070 WaitTime=30 BaseTime=2070 RunTime=90	OptSolTime=2071
T21 Train73 AimedDepartureTime=2190 WaitTime=30 BaseTime=2190 RunTime=180	OptSolTime=2191
T20 Train73 AimedDepartureTime=2370 WaitTime=0 BaseTime=2370 RunTime=43	OptSolTime=2371
T19 Train73 AimedDepartureTime=2413 WaitTime=0 BaseTime=2413 RunTime=167	OptSolTime=2414
T18 Train73 AimedDepartureTime=2620 WaitTime=40 BaseTime=2620 RunTime=280	OptSolTime=2621
T17 Train73 AimedDepartureTime=2930 WaitTime=30 BaseTime=2930 RunTime=210	OptSolTime=2931
T16 Train73 AimedDepartureTime=3170 WaitTime=30 BaseTime=3170 RunTime=150	OptSolTime=3171
T15 Train73 AimedDepartureTime=3350 WaitTime=30 BaseTime=3350 RunTime=390	OptSolTime=3351
T14 Train73 AimedDepartureTime=3920 WaitTime=180 BaseTime=3920 RunTime=420	OptSolTime=3921
T13 Train73 AimedDepartureTime=4370 WaitTime=30 BaseTime=4370 RunTime=114	OptSolTime=4371
T12 Train73 AimedDepartureTime=4484 WaitTime=0 BaseTime=4484 RunTime=156	OptSolTime=4485
T11 Train73 AimedDepartureTime=4670 WaitTime=30 BaseTime=4670 RunTime=328	OptSolTime=4671
T10 Train73 AimedDepartureTime=4998 WaitTime=0 BaseTime=4998 RunTime=205	OptSolTime=4999
T9 Train73 AimedDepartureTime=5203 WaitTime=0 BaseTime=5203 RunTime=277	OptSolTime=5204
T8 Train73 AimedDepartureTime=5510 WaitTime=30 BaseTime=5510 RunTime=275	OptSolTime=5511
T7 Train73 AimedDepartureTime=5785 WaitTime=0 BaseTime=5785 RunTime=355	OptSolTime=5786
T6 Train73 AimedDepartureTime=6320 WaitTime=180 BaseTime=6320 RunTime=660	OptSolTime=6321

TrainId=43 Delay=4468 FreeRun=3189 	Final Delay=4999
T11 Train43 AimedDepartureTime=0 WaitTime=0 BaseTime=4468 RunTime=340	OptSolTime=4999
T12 Train43 AimedDepartureTime=0 WaitTime=0 BaseTime=4808 RunTime=113	OptSolTime=5339
T13 Train43 AimedDepartureTime=0 WaitTime=0 BaseTime=4921 RunTime=75	OptSolTime=5452
T14 Train43 AimedDepartureTime=0 WaitTime=0 BaseTime=4996 RunTime=219	OptSolTime=5527
T15 Train43 AimedDepartureTime=0 WaitTime=599 BaseTime=5814 RunTime=104	OptSolTime=6345
T16 Train43 AimedDepartureTime=0 WaitTime=0 BaseTime=5918 RunTime=137	OptSolTime=6449
T17 Train43 AimedDepartureTime=0 WaitTime=180 BaseTime=6235 RunTime=145	OptSolTime=6766
T18 Train43 AimedDepartureTime=0 WaitTime=0 BaseTime=6380 RunTime=177	OptSolTime=6911
T19 Train43 AimedDepartureTime=0 WaitTime=0 BaseTime=6557 RunTime=130	OptSolTime=7088
T20 Train43 AimedDepartureTime=0 WaitTime=0 BaseTime=6687 RunTime=43	OptSolTime=7218
