

TrainId=165 Delay=0 FreeRun=7721 	Final Delay=180
T25 Train165 AimedDepartureTime=2961 WaitTime=60 BaseTime=2961 RunTime=212	OptSolTime=2961
T24 Train165 AimedDepartureTime=3173 WaitTime=0 BaseTime=3173 RunTime=148	OptSolTime=3173
T23 Train165 AimedDepartureTime=3351 WaitTime=30 BaseTime=3351 RunTime=150	OptSolTime=3351
T22 Train165 AimedDepartureTime=3531 WaitTime=30 BaseTime=3531 RunTime=150	OptSolTime=3531
T21 Train165 AimedDepartureTime=3711 WaitTime=30 BaseTime=3711 RunTime=149	OptSolTime=3711
T20 Train165 AimedDepartureTime=3860 WaitTime=0 BaseTime=3860 RunTime=45	OptSolTime=4040
T19 Train165 AimedDepartureTime=3905 WaitTime=0 BaseTime=3905 RunTime=196	OptSolTime=4085
T18 Train165 AimedDepartureTime=4161 WaitTime=60 BaseTime=4161 RunTime=300	OptSolTime=4341
T17 Train165 AimedDepartureTime=4491 WaitTime=30 BaseTime=4491 RunTime=210	OptSolTime=4671
T16 Train165 AimedDepartureTime=4731 WaitTime=30 BaseTime=4731 RunTime=210	OptSolTime=4911
T15 Train165 AimedDepartureTime=4971 WaitTime=30 BaseTime=4971 RunTime=150	OptSolTime=5151
T14 Train165 AimedDepartureTime=5151 WaitTime=30 BaseTime=5151 RunTime=208	OptSolTime=5331
T13 Train165 AimedDepartureTime=5359 WaitTime=0 BaseTime=5359 RunTime=81	OptSolTime=5539
T12 Train165 AimedDepartureTime=5440 WaitTime=0 BaseTime=5440 RunTime=161	OptSolTime=5620
T11 Train165 AimedDepartureTime=5641 WaitTime=40 BaseTime=5641 RunTime=700	OptSolTime=5821
T10 Train165 AimedDepartureTime=6521 WaitTime=180 BaseTime=6521 RunTime=420	OptSolTime=6701
T9 Train165 AimedDepartureTime=6941 WaitTime=0 BaseTime=6941 RunTime=240	OptSolTime=7121
T8 Train165 AimedDepartureTime=7211 WaitTime=30 BaseTime=7211 RunTime=330	OptSolTime=7391
T7 Train165 AimedDepartureTime=7541 WaitTime=0 BaseTime=7541 RunTime=180	OptSolTime=7721
T6 Train165 AimedDepartureTime=7721 WaitTime=0 BaseTime=7721 RunTime=420	OptSolTime=7901

TrainId=166 Delay=0 FreeRun=4451 	Final Delay=0
T6 Train166 AimedDepartureTime=801 WaitTime=0 BaseTime=801 RunTime=300	OptSolTime=801
T7 Train166 AimedDepartureTime=1101 WaitTime=0 BaseTime=1101 RunTime=180	OptSolTime=1101
T8 Train166 AimedDepartureTime=1281 WaitTime=0 BaseTime=1281 RunTime=270	OptSolTime=1281
T9 Train166 AimedDepartureTime=1581 WaitTime=30 BaseTime=1581 RunTime=240	OptSolTime=1581
T10 Train166 AimedDepartureTime=1821 WaitTime=0 BaseTime=1821 RunTime=240	OptSolTime=1821
T11 Train166 AimedDepartureTime=2061 WaitTime=0 BaseTime=2061 RunTime=320	OptSolTime=2061
T12 Train166 AimedDepartureTime=2421 WaitTime=40 BaseTime=2421 RunTime=107	OptSolTime=2421
T13 Train166 AimedDepartureTime=2528 WaitTime=0 BaseTime=2528 RunTime=72	OptSolTime=2528
T14 Train166 AimedDepartureTime=2600 WaitTime=0 BaseTime=2600 RunTime=211	OptSolTime=2600
T15 Train166 AimedDepartureTime=2841 WaitTime=30 BaseTime=2841 RunTime=150	OptSolTime=2841
T16 Train166 AimedDepartureTime=3021 WaitTime=30 BaseTime=3021 RunTime=90	OptSolTime=3021
T17 Train166 AimedDepartureTime=3141 WaitTime=30 BaseTime=3141 RunTime=150	OptSolTime=3141
T18 Train166 AimedDepartureTime=3321 WaitTime=30 BaseTime=3321 RunTime=300	OptSolTime=3321
T19 Train166 AimedDepartureTime=3801 WaitTime=180 BaseTime=3801 RunTime=90	OptSolTime=3801
T20 Train166 AimedDepartureTime=3891 WaitTime=0 BaseTime=3891 RunTime=30	OptSolTime=3891
T21 Train166 AimedDepartureTime=3921 WaitTime=0 BaseTime=3921 RunTime=150	OptSolTime=3921
T22 Train166 AimedDepartureTime=4101 WaitTime=30 BaseTime=4101 RunTime=90	OptSolTime=4101
T23 Train166 AimedDepartureTime=4221 WaitTime=30 BaseTime=4221 RunTime=90	OptSolTime=4221
T24 Train166 AimedDepartureTime=4341 WaitTime=30 BaseTime=4341 RunTime=110	OptSolTime=4341
T25 Train166 AimedDepartureTime=4451 WaitTime=0 BaseTime=4451 RunTime=250	OptSolTime=4451

TrainId=107 Delay=0 FreeRun=30185 	Final Delay=101120
T25 Train107 AimedDepartureTime=201 WaitTime=0 BaseTime=201 RunTime=983	OptSolTime=101321
T24 Train107 AimedDepartureTime=1184 WaitTime=0 BaseTime=1184 RunTime=164	OptSolTime=102304
T23 Train107 AimedDepartureTime=1348 WaitTime=0 BaseTime=1348 RunTime=74	OptSolTime=102468
T22 Train107 AimedDepartureTime=1422 WaitTime=0 BaseTime=1422 RunTime=43	OptSolTime=102542
T21 Train107 AimedDepartureTime=1465 WaitTime=0 BaseTime=1465 RunTime=204	OptSolTime=102585
T20 Train107 AimedDepartureTime=1669 WaitTime=0 BaseTime=1669 RunTime=56	OptSolTime=102789
T19 Train107 AimedDepartureTime=1725 WaitTime=0 BaseTime=1725 RunTime=169	OptSolTime=102845
T18 Train107 AimedDepartureTime=1894 WaitTime=0 BaseTime=1894 RunTime=217	OptSolTime=103014
T17 Train107 AimedDepartureTime=2111 WaitTime=0 BaseTime=2111 RunTime=1030	OptSolTime=103231
T16 Train107 AimedDepartureTime=3981 WaitTime=840 BaseTime=3981 RunTime=977	OptSolTime=105101
T15 Train107 AimedDepartureTime=4958 WaitTime=0 BaseTime=4958 RunTime=105	OptSolTime=106078
T14 Train107 AimedDepartureTime=5063 WaitTime=0 BaseTime=5063 RunTime=217	OptSolTime=106183
T13 Train107 AimedDepartureTime=5280 WaitTime=0 BaseTime=5280 RunTime=108	OptSolTime=106400
T12 Train107 AimedDepartureTime=5388 WaitTime=0 BaseTime=5388 RunTime=162	OptSolTime=106508
T11 Train107 AimedDepartureTime=5550 WaitTime=0 BaseTime=5550 RunTime=425	OptSolTime=106670
T10 Train107 AimedDepartureTime=5975 WaitTime=0 BaseTime=5975 RunTime=300	OptSolTime=107095
T9 Train107 AimedDepartureTime=6275 WaitTime=0 BaseTime=6275 RunTime=586	OptSolTime=107395
T8 Train107 AimedDepartureTime=7101 WaitTime=240 BaseTime=7101 RunTime=703	OptSolTime=108221
T7 Train107 AimedDepartureTime=7804 WaitTime=0 BaseTime=7804 RunTime=241	OptSolTime=108924
T6 Train107 AimedDepartureTime=8045 WaitTime=0 BaseTime=8045 RunTime=6856	OptSolTime=109165
T5 Train107 AimedDepartureTime=21261 WaitTime=6360 BaseTime=21261 RunTime=6751	OptSolTime=122381
T4 Train107 AimedDepartureTime=28012 WaitTime=0 BaseTime=28012 RunTime=279	OptSolTime=129132
T3 Train107 AimedDepartureTime=28291 WaitTime=0 BaseTime=28291 RunTime=830	OptSolTime=129411
T2 Train107 AimedDepartureTime=29421 WaitTime=300 BaseTime=29421 RunTime=764	OptSolTime=130541
T1 Train107 AimedDepartureTime=30185 WaitTime=0 BaseTime=30185 RunTime=736	OptSolTime=131305

TrainId=155 Delay=157 FreeRun=4190 	Final Delay=291
T22 Train155 AimedDepartureTime=0 WaitTime=30 BaseTime=157 RunTime=150	OptSolTime=157
T21 Train155 AimedDepartureTime=0 WaitTime=30 BaseTime=337 RunTime=149	OptSolTime=471
T20 Train155 AimedDepartureTime=329 WaitTime=0 BaseTime=486 RunTime=45	OptSolTime=620
T19 Train155 AimedDepartureTime=374 WaitTime=0 BaseTime=531 RunTime=196	OptSolTime=665
T18 Train155 AimedDepartureTime=630 WaitTime=60 BaseTime=787 RunTime=300	OptSolTime=921
T17 Train155 AimedDepartureTime=960 WaitTime=30 BaseTime=1117 RunTime=210	OptSolTime=1251
T16 Train155 AimedDepartureTime=1200 WaitTime=30 BaseTime=1357 RunTime=210	OptSolTime=1491
T15 Train155 AimedDepartureTime=1440 WaitTime=30 BaseTime=1597 RunTime=150	OptSolTime=1731
T14 Train155 AimedDepartureTime=1620 WaitTime=30 BaseTime=1777 RunTime=208	OptSolTime=1911
T13 Train155 AimedDepartureTime=1828 WaitTime=0 BaseTime=1985 RunTime=81	OptSolTime=2119
T12 Train155 AimedDepartureTime=1909 WaitTime=0 BaseTime=2066 RunTime=161	OptSolTime=2200
T11 Train155 AimedDepartureTime=2110 WaitTime=40 BaseTime=2267 RunTime=700	OptSolTime=2401
T10 Train155 AimedDepartureTime=2990 WaitTime=180 BaseTime=3147 RunTime=420	OptSolTime=3281
T9 Train155 AimedDepartureTime=3410 WaitTime=0 BaseTime=3567 RunTime=240	OptSolTime=3701
T8 Train155 AimedDepartureTime=3680 WaitTime=30 BaseTime=3837 RunTime=330	OptSolTime=3971
T7 Train155 AimedDepartureTime=4010 WaitTime=0 BaseTime=4167 RunTime=180	OptSolTime=4301
T6 Train155 AimedDepartureTime=4190 WaitTime=0 BaseTime=4347 RunTime=420	OptSolTime=4481

TrainId=158 Delay=0 FreeRun=851 	Final Delay=0
T19 Train158 AimedDepartureTime=201 WaitTime=180 BaseTime=201 RunTime=90	OptSolTime=201
T20 Train158 AimedDepartureTime=291 WaitTime=0 BaseTime=291 RunTime=30	OptSolTime=291
T21 Train158 AimedDepartureTime=321 WaitTime=0 BaseTime=321 RunTime=150	OptSolTime=321
T22 Train158 AimedDepartureTime=501 WaitTime=30 BaseTime=501 RunTime=90	OptSolTime=501
T23 Train158 AimedDepartureTime=621 WaitTime=30 BaseTime=621 RunTime=90	OptSolTime=621
T24 Train158 AimedDepartureTime=741 WaitTime=30 BaseTime=741 RunTime=110	OptSolTime=741
T25 Train158 AimedDepartureTime=851 WaitTime=0 BaseTime=851 RunTime=250	OptSolTime=851
