

T18 Train69 AimedDepartureTime=7366 WaitTime=180 BaseTime=7366 RunTime=255	OptSolTime=7366
T19 Train69 AimedDepartureTime=7621 WaitTime=0 BaseTime=7621 RunTime=168	OptSolTime=7621

TrainId=70 Delay=0 FreeRun=5551 	Final Delay=0
T1 Train70 AimedDepartureTime=4471 WaitTime=0 BaseTime=4471 RunTime=234	OptSolTime=4471
T2 Train70 AimedDepartureTime=4705 WaitTime=0 BaseTime=4705 RunTime=221	OptSolTime=4705
T3 Train70 AimedDepartureTime=4926 WaitTime=0 BaseTime=4926 RunTime=401	OptSolTime=4926
T4 Train70 AimedDepartureTime=5327 WaitTime=0 BaseTime=5327 RunTime=224	OptSolTime=5327
T5 Train70 AimedDepartureTime=5551 WaitTime=0 BaseTime=5551 RunTime=315	OptSolTime=5551

TrainId=71 Delay=0 FreeRun=10986 	Final Delay=340
T25 Train71 AimedDepartureTime=6226 WaitTime=60 BaseTime=6226 RunTime=212	OptSolTime=6226
T24 Train71 AimedDepartureTime=6438 WaitTime=0 BaseTime=6438 RunTime=148	OptSolTime=6438
T23 Train71 AimedDepartureTime=6616 WaitTime=30 BaseTime=6616 RunTime=150	OptSolTime=6616
T22 Train71 AimedDepartureTime=6796 WaitTime=30 BaseTime=6796 RunTime=150	OptSolTime=6796
T21 Train71 AimedDepartureTime=6976 WaitTime=30 BaseTime=6976 RunTime=149	OptSolTime=6976
T20 Train71 AimedDepartureTime=7125 WaitTime=0 BaseTime=7125 RunTime=45	OptSolTime=7186
T19 Train71 AimedDepartureTime=7170 WaitTime=0 BaseTime=7170 RunTime=196	OptSolTime=7231
T18 Train71 AimedDepartureTime=7426 WaitTime=60 BaseTime=7426 RunTime=300	OptSolTime=7621
T17 Train71 AimedDepartureTime=7756 WaitTime=30 BaseTime=7756 RunTime=210	OptSolTime=7951
T16 Train71 AimedDepartureTime=7996 WaitTime=30 BaseTime=7996 RunTime=210	OptSolTime=8191
T15 Train71 AimedDepartureTime=8236 WaitTime=30 BaseTime=8236 RunTime=150	OptSolTime=8431
T14 Train71 AimedDepartureTime=8416 WaitTime=30 BaseTime=8416 RunTime=208	OptSolTime=8611
T13 Train71 AimedDepartureTime=8624 WaitTime=0 BaseTime=8624 RunTime=80	OptSolTime=8819
T12 Train71 AimedDepartureTime=8704 WaitTime=0 BaseTime=8704 RunTime=162	OptSolTime=8899
T11 Train71 AimedDepartureTime=8906 WaitTime=40 BaseTime=8906 RunTime=700	OptSolTime=9246
T10 Train71 AimedDepartureTime=9786 WaitTime=180 BaseTime=9786 RunTime=420	OptSolTime=10126
T9 Train71 AimedDepartureTime=10206 WaitTime=0 BaseTime=10206 RunTime=240	OptSolTime=10546
T8 Train71 AimedDepartureTime=10476 WaitTime=30 BaseTime=10476 RunTime=330	OptSolTime=10816
T7 Train71 AimedDepartureTime=10806 WaitTime=0 BaseTime=10806 RunTime=180	OptSolTime=11146
T6 Train71 AimedDepartureTime=10986 WaitTime=0 BaseTime=10986 RunTime=420	OptSolTime=11326

TrainId=72 Delay=0 FreeRun=7716 	Final Delay=0
T6 Train72 AimedDepartureTime=4066 WaitTime=0 BaseTime=4066 RunTime=300	OptSolTime=4066
T7 Train72 AimedDepartureTime=4366 WaitTime=0 BaseTime=4366 RunTime=180	OptSolTime=4366
T8 Train72 AimedDepartureTime=4546 WaitTime=0 BaseTime=4546 RunTime=270	OptSolTime=4546
T9 Train72 AimedDepartureTime=4846 WaitTime=30 BaseTime=4846 RunTime=240	OptSolTime=4846
T10 Train72 AimedDepartureTime=5086 WaitTime=0 BaseTime=5086 RunTime=240	OptSolTime=5086
T11 Train72 AimedDepartureTime=5326 WaitTime=0 BaseTime=5326 RunTime=320	OptSolTime=5326
T12 Train72 AimedDepartureTime=5686 WaitTime=40 BaseTime=5686 RunTime=107	OptSolTime=5686
T13 Train72 AimedDepartureTime=5793 WaitTime=0 BaseTime=5793 RunTime=72	OptSolTime=5793
T14 Train72 AimedDepartureTime=5865 WaitTime=0 BaseTime=5865 RunTime=211	OptSolTime=5865
T15 Train72 AimedDepartureTime=6106 WaitTime=30 BaseTime=6106 RunTime=150	OptSolTime=6106
T16 Train72 AimedDepartureTime=6286 WaitTime=30 BaseTime=6286 RunTime=90	OptSolTime=6286
T17 Train72 AimedDepartureTime=6406 WaitTime=30 BaseTime=6406 RunTime=150	OptSolTime=6406
T18 Train72 AimedDepartureTime=6586 WaitTime=30 BaseTime=6586 RunTime=300	OptSolTime=6586
T19 Train72 AimedDepartureTime=7066 WaitTime=180 BaseTime=7066 RunTime=90	OptSolTime=7066
