

T17 Train15 AimedDepartureTime=1290 WaitTime=0 BaseTime=1883 RunTime=240	OptSolTime=25678
T16 Train15 AimedDepartureTime=1530 WaitTime=0 BaseTime=2123 RunTime=72	OptSolTime=26448
T15 Train15 AimedDepartureTime=1602 WaitTime=0 BaseTime=2195 RunTime=108	OptSolTime=26520
T14 Train15 AimedDepartureTime=1710 WaitTime=0 BaseTime=2303 RunTime=240	OptSolTime=26628
T13 Train15 AimedDepartureTime=1980 WaitTime=30 BaseTime=2573 RunTime=330	OptSolTime=26898
T12 Train15 AimedDepartureTime=2310 WaitTime=0 BaseTime=2903 RunTime=88	OptSolTime=27228
T11 Train15 AimedDepartureTime=2398 WaitTime=0 BaseTime=2991 RunTime=92	OptSolTime=27316
T10 Train15 AimedDepartureTime=2490 WaitTime=0 BaseTime=3083 RunTime=360	OptSolTime=27408
T9 Train15 AimedDepartureTime=2910 WaitTime=60 BaseTime=3503 RunTime=180	OptSolTime=27828
T8 Train15 AimedDepartureTime=3120 WaitTime=30 BaseTime=3713 RunTime=210	OptSolTime=28038
T7 Train15 AimedDepartureTime=3360 WaitTime=30 BaseTime=3953 RunTime=114	OptSolTime=28278
T5 Train15 AimedDepartureTime=3474 WaitTime=0 BaseTime=4067 RunTime=42	OptSolTime=28392
T3 Train15 AimedDepartureTime=3516 WaitTime=0 BaseTime=4109 RunTime=147	OptSolTime=28434
T1 Train15 AimedDepartureTime=3663 WaitTime=0 BaseTime=4256 RunTime=267	OptSolTime=28581

TrainId=16 Delay=537 FreeRun=1980 	Final Delay=623
T20 Train16 AimedDepartureTime=0 WaitTime=0 BaseTime=537 RunTime=30	OptSolTime=537
T21 Train16 AimedDepartureTime=0 WaitTime=30 BaseTime=597 RunTime=300	OptSolTime=597
T22 Train16 AimedDepartureTime=0 WaitTime=240 BaseTime=1137 RunTime=270	OptSolTime=1223
T23 Train16 AimedDepartureTime=900 WaitTime=30 BaseTime=1437 RunTime=270	OptSolTime=1523
T24 Train16 AimedDepartureTime=1200 WaitTime=30 BaseTime=1737 RunTime=220	OptSolTime=1823
T25 Train16 AimedDepartureTime=1440 WaitTime=20 BaseTime=1977 RunTime=390	OptSolTime=2063
T26 Train16 AimedDepartureTime=1860 WaitTime=30 BaseTime=2397 RunTime=120	OptSolTime=2483
T27 Train16 AimedDepartureTime=1980 WaitTime=0 BaseTime=2517 RunTime=120	OptSolTime=2603

TrainId=17 Delay=0 FreeRun=2806 	Final Delay=0
T13 Train17 AimedDepartureTime=892 WaitTime=0 BaseTime=892 RunTime=354	OptSolTime=892
T14 Train17 AimedDepartureTime=1246 WaitTime=0 BaseTime=1246 RunTime=180	OptSolTime=1246
T15 Train17 AimedDepartureTime=1426 WaitTime=0 BaseTime=1426 RunTime=151	OptSolTime=1426
T16 Train17 AimedDepartureTime=1577 WaitTime=0 BaseTime=1577 RunTime=89	OptSolTime=1577
T17 Train17 AimedDepartureTime=1666 WaitTime=0 BaseTime=1666 RunTime=300	OptSolTime=1666
T18 Train17 AimedDepartureTime=1966 WaitTime=0 BaseTime=1966 RunTime=180	OptSolTime=1966
T19 Train17 AimedDepartureTime=2146 WaitTime=0 BaseTime=2146 RunTime=180	OptSolTime=2146
T20 Train17 AimedDepartureTime=2326 WaitTime=0 BaseTime=2326 RunTime=114	OptSolTime=2326
T21 Train17 AimedDepartureTime=2440 WaitTime=0 BaseTime=2440 RunTime=126	OptSolTime=2440
T22 Train17 AimedDepartureTime=2566 WaitTime=0 BaseTime=2566 RunTime=240	OptSolTime=2566
T23 Train17 AimedDepartureTime=2806 WaitTime=0 BaseTime=2806 RunTime=240	OptSolTime=2806

TrainId=18 Delay=0 FreeRun=7776 	Final Delay=0
T1 Train18 AimedDepartureTime=1006 WaitTime=0 BaseTime=1006 RunTime=90	OptSolTime=1006
T2 Train18 AimedDepartureTime=1096 WaitTime=0 BaseTime=1096 RunTime=90	OptSolTime=1096
T4 Train18 AimedDepartureTime=1186 WaitTime=0 BaseTime=1186 RunTime=70	OptSolTime=1186
T6 Train18 AimedDepartureTime=1256 WaitTime=0 BaseTime=1256 RunTime=140	OptSolTime=1256
T8 Train18 AimedDepartureTime=1426 WaitTime=30 BaseTime=1426 RunTime=90	OptSolTime=1426
T9 Train18 AimedDepartureTime=1546 WaitTime=30 BaseTime=1546 RunTime=180	OptSolTime=1546
T10 Train18 AimedDepartureTime=1906 WaitTime=180 BaseTime=1906 RunTime=300	OptSolTime=1906
