

TrainId=161 Delay=21 FreeRun=662 	Final Delay=87
T19 Train161 AimedDepartureTime=0 WaitTime=180 BaseTime=21 RunTime=90	OptSolTime=21
T20 Train161 AimedDepartureTime=90 WaitTime=0 BaseTime=111 RunTime=30	OptSolTime=177
T21 Train161 AimedDepartureTime=120 WaitTime=0 BaseTime=141 RunTime=150	OptSolTime=207
T22 Train161 AimedDepartureTime=300 WaitTime=30 BaseTime=321 RunTime=90	OptSolTime=387
T23 Train161 AimedDepartureTime=420 WaitTime=30 BaseTime=441 RunTime=90	OptSolTime=507
T24 Train161 AimedDepartureTime=540 WaitTime=30 BaseTime=561 RunTime=122	OptSolTime=627
T25 Train161 AimedDepartureTime=662 WaitTime=0 BaseTime=683 RunTime=178	OptSolTime=749

TrainId=133 Delay=6801 FreeRun=1349 	Final Delay=6801
T5 Train133 AimedDepartureTime=0 WaitTime=0 BaseTime=6801 RunTime=381	OptSolTime=6801
T4 Train133 AimedDepartureTime=0 WaitTime=0 BaseTime=7182 RunTime=273	OptSolTime=7182
T3 Train133 AimedDepartureTime=0 WaitTime=0 BaseTime=7455 RunTime=480	OptSolTime=7455
T2 Train133 AimedDepartureTime=0 WaitTime=0 BaseTime=7935 RunTime=215	OptSolTime=7935
T1 Train133 AimedDepartureTime=0 WaitTime=0 BaseTime=8150 RunTime=285	OptSolTime=8150

TrainId=169 Delay=0 FreeRun=24466 	Final Delay=203472
T25 Train169 AimedDepartureTime=10000 WaitTime=0 BaseTime=10000 RunTime=242	OptSolTime=10092
T24 Train169 AimedDepartureTime=10242 WaitTime=0 BaseTime=10242 RunTime=238	OptSolTime=10334
T23 Train169 AimedDepartureTime=10480 WaitTime=0 BaseTime=10480 RunTime=77	OptSolTime=10572
T22 Train169 AimedDepartureTime=10557 WaitTime=0 BaseTime=10557 RunTime=43	OptSolTime=10649
T21 Train169 AimedDepartureTime=10600 WaitTime=0 BaseTime=10600 RunTime=240	OptSolTime=212890
T20 Train169 AimedDepartureTime=10900 WaitTime=60 BaseTime=10900 RunTime=143	OptSolTime=213190
T19 Train169 AimedDepartureTime=11043 WaitTime=0 BaseTime=11043 RunTime=249	OptSolTime=213333
T18 Train169 AimedDepartureTime=11292 WaitTime=0 BaseTime=11292 RunTime=282	OptSolTime=213582
T17 Train169 AimedDepartureTime=11574 WaitTime=0 BaseTime=11574 RunTime=202	OptSolTime=213864
T16 Train169 AimedDepartureTime=11776 WaitTime=0 BaseTime=11776 RunTime=119	OptSolTime=214066
T15 Train169 AimedDepartureTime=11895 WaitTime=0 BaseTime=11895 RunTime=145	OptSolTime=214185
T14 Train169 AimedDepartureTime=12040 WaitTime=0 BaseTime=12040 RunTime=282	OptSolTime=214330
T13 Train169 AimedDepartureTime=12322 WaitTime=0 BaseTime=12322 RunTime=151	OptSolTime=214612
T12 Train169 AimedDepartureTime=12473 WaitTime=0 BaseTime=12473 RunTime=587	OptSolTime=214763
T11 Train169 AimedDepartureTime=13420 WaitTime=360 BaseTime=13420 RunTime=820	OptSolTime=215710
T10 Train169 AimedDepartureTime=14240 WaitTime=0 BaseTime=14240 RunTime=286	OptSolTime=216530
T9 Train169 AimedDepartureTime=14526 WaitTime=0 BaseTime=14526 RunTime=288	OptSolTime=216816
T8 Train169 AimedDepartureTime=14814 WaitTime=0 BaseTime=14814 RunTime=1426	OptSolTime=217104
T7 Train169 AimedDepartureTime=17260 WaitTime=1020 BaseTime=17260 RunTime=1301	OptSolTime=219550
T6 Train169 AimedDepartureTime=18561 WaitTime=0 BaseTime=18561 RunTime=1519	OptSolTime=220851
T5 Train169 AimedDepartureTime=21100 WaitTime=1020 BaseTime=21100 RunTime=1412	OptSolTime=223390
T4 Train169 AimedDepartureTime=22512 WaitTime=0 BaseTime=22512 RunTime=281	OptSolTime=224802
T3 Train169 AimedDepartureTime=22793 WaitTime=0 BaseTime=22793 RunTime=827	OptSolTime=225083
T2 Train169 AimedDepartureTime=23894 WaitTime=274 BaseTime=23894 RunTime=572	OptSolTime=226184
T1 Train169 AimedDepartureTime=24466 WaitTime=0 BaseTime=24466 RunTime=302	OptSolTime=227938

TrainId=171 Delay=0 FreeRun=6778 	Final Delay=0
T25 Train171 AimedDepartureTime=2680 WaitTime=60 BaseTime=2680 RunTime=212	OptSolTime=2680
T24 Train171 AimedDepartureTime=2892 WaitTime=0 BaseTime=2892 RunTime=148	OptSolTime=2892
T23 Train171 AimedDepartureTime=3070 WaitTime=30 BaseTime=3070 RunTime=150	OptSolTime=3070
T22 Train171 AimedDepartureTime=3250 WaitTime=30 BaseTime=3250 RunTime=150	OptSolTime=3250
T21 Train171 AimedDepartureTime=3430 WaitTime=30 BaseTime=3430 RunTime=149	OptSolTime=3430
T20 Train171 AimedDepartureTime=3579 WaitTime=0 BaseTime=3579 RunTime=45	OptSolTime=3579
T19 Train171 AimedDepartureTime=3624 WaitTime=0 BaseTime=3624 RunTime=196	OptSolTime=3624
T18 Train171 AimedDepartureTime=3880 WaitTime=60 BaseTime=3880 RunTime=300	OptSolTime=3880
T17 Train171 AimedDepartureTime=4210 WaitTime=30 BaseTime=4210 RunTime=210	OptSolTime=4210
T16 Train171 AimedDepartureTime=4450 WaitTime=30 BaseTime=4450 RunTime=210	OptSolTime=4450
T15 Train171 AimedDepartureTime=4690 WaitTime=30 BaseTime=4690 RunTime=150	OptSolTime=4690
T14 Train171 AimedDepartureTime=4870 WaitTime=30 BaseTime=4870 RunTime=208	OptSolTime=4870
T13 Train171 AimedDepartureTime=5078 WaitTime=0 BaseTime=5078 RunTime=80	OptSolTime=5078
T12 Train171 AimedDepartureTime=5158 WaitTime=0 BaseTime=5158 RunTime=120	OptSolTime=5158
T11 Train171 AimedDepartureTime=5318 WaitTime=40 BaseTime=5318 RunTime=380	OptSolTime=5318
T10 Train171 AimedDepartureTime=5878 WaitTime=180 BaseTime=5878 RunTime=180	OptSolTime=5878
T9 Train171 AimedDepartureTime=6058 WaitTime=0 BaseTime=6058 RunTime=240	OptSolTime=6058
T8 Train171 AimedDepartureTime=6328 WaitTime=30 BaseTime=6328 RunTime=270	OptSolTime=6328
T7 Train171 AimedDepartureTime=6598 WaitTime=0 BaseTime=6598 RunTime=180	OptSolTime=6598
T6 Train171 AimedDepartureTime=6778 WaitTime=0 BaseTime=6778 RunTime=300	OptSolTime=6778

TrainId=172 Delay=0 FreeRun=4230 	Final Delay=1541
T6 Train172 AimedDepartureTime=640 WaitTime=0 BaseTime=640 RunTime=300	OptSolTime=640
