

TrainId=1 Delay=9853 FreeRun=3486 	Final Delay=380494
T23 Train1 AimedDepartureTime=0 WaitTime=0 BaseTime=9853 RunTime=240	OptSolTime=10006
T22 Train1 AimedDepartureTime=0 WaitTime=0 BaseTime=10093 RunTime=180	OptSolTime=10246
T21 Train1 AimedDepartureTime=0 WaitTime=0 BaseTime=10273 RunTime=108	OptSolTime=10426
T20 Train1 AimedDepartureTime=0 WaitTime=0 BaseTime=10381 RunTime=192	OptSolTime=10534
T19 Train1 AimedDepartureTime=0 WaitTime=120 BaseTime=10693 RunTime=360	OptSolTime=10846
T18 Train1 AimedDepartureTime=0 WaitTime=0 BaseTime=11053 RunTime=180	OptSolTime=11206
T17 Train1 AimedDepartureTime=0 WaitTime=0 BaseTime=11233 RunTime=180	OptSolTime=11686
T16 Train1 AimedDepartureTime=0 WaitTime=0 BaseTime=11413 RunTime=72	OptSolTime=11998
T15 Train1 AimedDepartureTime=0 WaitTime=0 BaseTime=11485 RunTime=108	OptSolTime=12070
T14 Train1 AimedDepartureTime=0 WaitTime=0 BaseTime=11593 RunTime=180	OptSolTime=12526
T13 Train1 AimedDepartureTime=0 WaitTime=0 BaseTime=11773 RunTime=300	OptSolTime=26432
T12 Train1 AimedDepartureTime=0 WaitTime=0 BaseTime=12073 RunTime=102	OptSolTime=26732
T11 Train1 AimedDepartureTime=0 WaitTime=0 BaseTime=12175 RunTime=138	OptSolTime=26966
T10 Train1 AimedDepartureTime=0 WaitTime=0 BaseTime=12313 RunTime=418	OptSolTime=381757
T9 Train1 AimedDepartureTime=0 WaitTime=0 BaseTime=12731 RunTime=148	OptSolTime=382175
T8 Train1 AimedDepartureTime=0 WaitTime=0 BaseTime=12879 RunTime=127	OptSolTime=383520
T7 Train1 AimedDepartureTime=0 WaitTime=0 BaseTime=13006 RunTime=106	OptSolTime=383647
T5 Train1 AimedDepartureTime=0 WaitTime=0 BaseTime=13112 RunTime=53	OptSolTime=383753
T3 Train1 AimedDepartureTime=0 WaitTime=0 BaseTime=13165 RunTime=174	OptSolTime=383806
T1 Train1 AimedDepartureTime=0 WaitTime=0 BaseTime=13339 RunTime=294	OptSolTime=383980

TrainId=4 Delay=840 FreeRun=11310 	Final Delay=16840
T23 Train4 AimedDepartureTime=5866 WaitTime=120 BaseTime=6706 RunTime=600	OptSolTime=22706
T22 Train4 AimedDepartureTime=6466 WaitTime=0 BaseTime=7306 RunTime=420	OptSolTime=23306
T21 Train4 AimedDepartureTime=7066 WaitTime=180 BaseTime=7906 RunTime=306	OptSolTime=23906
T20 Train4 AimedDepartureTime=7372 WaitTime=0 BaseTime=8212 RunTime=114	OptSolTime=24212
T19 Train4 AimedDepartureTime=7486 WaitTime=0 BaseTime=8326 RunTime=480	OptSolTime=24326
T18 Train4 AimedDepartureTime=8266 WaitTime=300 BaseTime=9106 RunTime=480	OptSolTime=25106
T17 Train4 AimedDepartureTime=8746 WaitTime=0 BaseTime=9586 RunTime=180	OptSolTime=25586
T16 Train4 AimedDepartureTime=8926 WaitTime=0 BaseTime=9766 RunTime=74	OptSolTime=25766
T15 Train4 AimedDepartureTime=9000 WaitTime=0 BaseTime=9840 RunTime=186	OptSolTime=25840
T14 Train4 AimedDepartureTime=9186 WaitTime=0 BaseTime=10026 RunTime=159	OptSolTime=26026
T13 Train4 AimedDepartureTime=9345 WaitTime=0 BaseTime=10185 RunTime=247	OptSolTime=26185
T12 Train4 AimedDepartureTime=9592 WaitTime=0 BaseTime=10432 RunTime=98	OptSolTime=26432
T11 Train4 AimedDepartureTime=9690 WaitTime=0 BaseTime=10530 RunTime=436	OptSolTime=26530
T10 Train4 AimedDepartureTime=10426 WaitTime=300 BaseTime=11266 RunTime=570	OptSolTime=27266
T9 Train4 AimedDepartureTime=10996 WaitTime=0 BaseTime=11836 RunTime=82	OptSolTime=27836
T8 Train4 AimedDepartureTime=11078 WaitTime=0 BaseTime=11918 RunTime=78	OptSolTime=27918
T7 Train4 AimedDepartureTime=11156 WaitTime=0 BaseTime=11996 RunTime=52	OptSolTime=27996
T5 Train4 AimedDepartureTime=11208 WaitTime=0 BaseTime=12048 RunTime=26	OptSolTime=28048
T3 Train4 AimedDepartureTime=11234 WaitTime=0 BaseTime=12074 RunTime=76	OptSolTime=28074
T1 Train4 AimedDepartureTime=11310 WaitTime=0 BaseTime=12150 RunTime=196	OptSolTime=28150

TrainId=11 Delay=0 FreeRun=7876 	Final Delay=3660
T23 Train11 AimedDepartureTime=3071 WaitTime=0 BaseTime=3071 RunTime=292	OptSolTime=4346
T22 Train11 AimedDepartureTime=3363 WaitTime=0 BaseTime=3363 RunTime=221	OptSolTime=4638
T21 Train11 AimedDepartureTime=3584 WaitTime=0 BaseTime=3584 RunTime=129	OptSolTime=5564
T20 Train11 AimedDepartureTime=3713 WaitTime=0 BaseTime=3713 RunTime=148	OptSolTime=5693
T19 Train11 AimedDepartureTime=3861 WaitTime=0 BaseTime=3861 RunTime=175	OptSolTime=5841
T18 Train11 AimedDepartureTime=4036 WaitTime=0 BaseTime=4036 RunTime=450	OptSolTime=6016
T17 Train11 AimedDepartureTime=4666 WaitTime=180 BaseTime=4666 RunTime=600	OptSolTime=6646
T16 Train11 AimedDepartureTime=5266 WaitTime=0 BaseTime=5266 RunTime=108	OptSolTime=7432
T15 Train11 AimedDepartureTime=5374 WaitTime=0 BaseTime=5374 RunTime=612	OptSolTime=7540
T14 Train11 AimedDepartureTime=6346 WaitTime=360 BaseTime=6346 RunTime=549	OptSolTime=8512
T13 Train11 AimedDepartureTime=6895 WaitTime=0 BaseTime=6895 RunTime=231	OptSolTime=9061
T12 Train11 AimedDepartureTime=7126 WaitTime=0 BaseTime=7126 RunTime=150	OptSolTime=9292
T11 Train11 AimedDepartureTime=7276 WaitTime=0 BaseTime=7276 RunTime=113	OptSolTime=9442
T10 Train11 AimedDepartureTime=7389 WaitTime=0 BaseTime=7389 RunTime=309	OptSolTime=9555
T9 Train11 AimedDepartureTime=7698 WaitTime=0 BaseTime=7698 RunTime=178	OptSolTime=10126
T8 Train11 AimedDepartureTime=7876 WaitTime=0 BaseTime=7876 RunTime=1530	OptSolTime=11536

TrainId=12 Delay=1515 FreeRun=3290 	Final Delay=2146
T24 Train12 AimedDepartureTime=0 WaitTime=30 BaseTime=1515 RunTime=230	OptSolTime=1515
T25 Train12 AimedDepartureTime=0 WaitTime=10 BaseTime=1755 RunTime=390	OptSolTime=1755
T26 Train12 AimedDepartureTime=0 WaitTime=30 BaseTime=2175 RunTime=120	OptSolTime=2175
T27 Train12 AimedDepartureTime=0 WaitTime=0 BaseTime=2295 RunTime=120	OptSolTime=2295
T28 Train12 AimedDepartureTime=0 WaitTime=60 BaseTime=2475 RunTime=410	OptSolTime=2698
T29 Train12 AimedDepartureTime=0 WaitTime=10 BaseTime=2895 RunTime=930	OptSolTime=3118
T30 Train12 AimedDepartureTime=2340 WaitTime=30 BaseTime=3855 RunTime=290	OptSolTime=4078
T31 Train12 AimedDepartureTime=2640 WaitTime=10 BaseTime=4155 RunTime=270	OptSolTime=4786
T32 Train12 AimedDepartureTime=2940 WaitTime=30 BaseTime=4455 RunTime=350	OptSolTime=5086
T33 Train12 AimedDepartureTime=3290 WaitTime=0 BaseTime=4805 RunTime=250	OptSolTime=5436

TrainId=13 Delay=0 FreeRun=2146 	Final Delay=170
T10 Train13 AimedDepartureTime=226 WaitTime=420 BaseTime=226 RunTime=840	OptSolTime=226
T9 Train13 AimedDepartureTime=1186 WaitTime=120 BaseTime=1186 RunTime=240	OptSolTime=1356
T8 Train13 AimedDepartureTime=1456 WaitTime=30 BaseTime=1456 RunTime=210	OptSolTime=1626
T7 Train13 AimedDepartureTime=1696 WaitTime=30 BaseTime=1696 RunTime=130	OptSolTime=1866
T5 Train13 AimedDepartureTime=1826 WaitTime=0 BaseTime=1826 RunTime=80	OptSolTime=1996
T3 Train13 AimedDepartureTime=1936 WaitTime=30 BaseTime=1936 RunTime=210	OptSolTime=2106
T1 Train13 AimedDepartureTime=2146 WaitTime=0 BaseTime=2146 RunTime=300	OptSolTime=2316

TrainId=14 Delay=195 FreeRun=1380 	Final Delay=360
T23 Train14 AimedDepartureTime=0 WaitTime=30 BaseTime=195 RunTime=300	OptSolTime=331
T24 Train14 AimedDepartureTime=600 WaitTime=300 BaseTime=795 RunTime=220	OptSolTime=931
T25 Train14 AimedDepartureTime=840 WaitTime=20 BaseTime=1035 RunTime=390	OptSolTime=1171
T26 Train14 AimedDepartureTime=1260 WaitTime=30 BaseTime=1455 RunTime=120	OptSolTime=1620
T27 Train14 AimedDepartureTime=1380 WaitTime=0 BaseTime=1575 RunTime=120	OptSolTime=1740

TrainId=15 Delay=0 FreeRun=8072 	Final Delay=148
T32 Train15 AimedDepartureTime=0 WaitTime=0 BaseTime=0 RunTime=398	OptSolTime=0
T31 Train15 AimedDepartureTime=0 WaitTime=30 BaseTime=428 RunTime=270	OptSolTime=428
T30 Train15 AimedDepartureTime=0 WaitTime=20 BaseTime=718 RunTime=380	OptSolTime=718
T29 Train15 AimedDepartureTime=0 WaitTime=60 BaseTime=1158 RunTime=900	OptSolTime=1158
T28 Train15 AimedDepartureTime=0 WaitTime=20 BaseTime=2078 RunTime=620	OptSolTime=2078
T27 Train15 AimedDepartureTime=0 WaitTime=120 BaseTime=2818 RunTime=255	OptSolTime=2818
T26 Train15 AimedDepartureTime=0 WaitTime=0 BaseTime=3073 RunTime=165	OptSolTime=3073
T25 Train15 AimedDepartureTime=0 WaitTime=30 BaseTime=3268 RunTime=390	OptSolTime=3268
T24 Train15 AimedDepartureTime=3668 WaitTime=10 BaseTime=3668 RunTime=310	OptSolTime=3668
T23 Train15 AimedDepartureTime=4008 WaitTime=30 BaseTime=4008 RunTime=330	OptSolTime=4008
T22 Train15 AimedDepartureTime=4368 WaitTime=30 BaseTime=4368 RunTime=270	OptSolTime=4368
T21 Train15 AimedDepartureTime=4638 WaitTime=0 BaseTime=4638 RunTime=120	OptSolTime=4638
T20 Train15 AimedDepartureTime=4788 WaitTime=30 BaseTime=4788 RunTime=150	OptSolTime=4936
T19 Train15 AimedDepartureTime=4938 WaitTime=0 BaseTime=4938 RunTime=300	OptSolTime=5086
T18 Train15 AimedDepartureTime=5358 WaitTime=120 BaseTime=5358 RunTime=300	OptSolTime=5506
T17 Train15 AimedDepartureTime=5658 WaitTime=0 BaseTime=5658 RunTime=240	OptSolTime=5806
T16 Train15 AimedDepartureTime=5898 WaitTime=0 BaseTime=5898 RunTime=71	OptSolTime=6046
