1;23;23;62;343
2;33;33;55;368
3;15;15;51;236
4;15;15;13;105
5;12;12;7;23
6;8;8;5;29
7;8;8;2;8
8;34;34;176;2149
9;25;25;20;90
10;17;17;18;46
11;13;13;10;57
12;5;5;1;8
13;4;4;2;8
14;19;19;22;130
15;7;7;5;37
16;2;2;1;4
17;27;27;18;153
18;8;8;2;14
19;9;9;7;43
20;8;8;1;4
21;33;33;474;11403
22;36;36;430;5016
23;31;31;46;241
24;16;16;10;110
